image_path,source,plate_id,plate_text,text_source,vehicle_id,x1,y1,x2,y2,x3,y3,x4,y4,corner_order_ambiguous,lighting,bent,annotator,timestamp
data_raw/cv/Frontal/0216KZP.jpg,cv,0216KZP,0216KZP,filename,0216KZP,1494.7,1108.8,2370.2,1177.9,2370.2,1350.7,1506.2,1275.8,False,artificial,False,alícia,2026-09-20T20:54:01.446256
data_raw/cv/Frontal/1062FNT_.jpg,cv,1062FNT,1062FNT,manual,1062FNT,1267.2,1278.7,2502.7,1241.3,2508.5,1483.2,1278.7,1529.3,False,daylight,False,alícia,2026-09-20T20:58:08.901583
data_raw/cv/Frontal/1565HTS.jpg,cv,1565HTS,1565HTS,filename,1565HTS,1339.2,1036.8,2543.0,1028.2,2545.9,1284.5,1347.8,1281.6,False,daylight,False,alícia,2026-09-20T21:04:09.288953
data_raw/cv/Frontal/2153GYX.jpg,cv,2153GYX,2153GYX,filename,2153GYX,2289.6,950.4,3035.5,921.6,3041.3,1166.4,2306.9,1206.7,False,daylight,False,alícia,2026-09-20T21:31:08.432092
data_raw/cv/Frontal/2929KXJ.jpg,cv,2929KXJ,2929KXJ,filename,2929KXJ,1471.7,1149.1,2531.5,1166.4,2525.8,1379.5,1468.8,1359.4,False,daylight,False,alícia,2026-09-21T00:12:39.868069
data_raw/cv/Frontal/3340JMF.jpg,cv,3340JMF,3340JMF,filename,3340JMF,1532.2,1209.6,2609.3,1206.7,2600.6,1422.7,1532.2,1428.5,False,daylight,False,alicia,2026-09-21T11:07:53.476099
data_raw/cv/Frontal/3587DCX.jpg,cv,3587DCX,3587DCX,filename,3587DCX,1408.3,1071.4,2577.6,1077.1,2574.7,1316.2,1405.4,1298.9,False,daylight,False,alicia,2026-09-21T14:23:31.557731
data_raw/cv/Frontal/3838JZH.jpg,cv,3838JZH,3838JZH,filename,3838JZH,1097.3,1117.4,2220.5,1209.6,2214.7,1408.3,1137.6,1319.0,False,daylight,False,alicia,2026-09-22T13:06:48.226470
data_raw/cv/Frontal/4674FHC.jpg,cv,4674FHC,4674FHC,manual,4674FHC,1474.6,1221.1,2638.1,1255.7,2629.4,1489.0,1471.7,1454.4,False,daylight,False,alicia,2026-09-22T13:45:44.922031
data_raw/cv/Frontal/5275HGY.jpg,cv,5275HGY,5275HGY,filename,5275HGY,1506.2,1195.2,2707.2,1195.2,2698.6,1440.0,1512.0,1448.6,False,daylight,False,alicia,2026-09-22T13:51:41.590321
data_raw/cv/Frontal/5488LKV.jpg,cv,5488LKV,5488LKV,filename,5488LKV,1408.3,1045.4,2655.4,1057.0,2661.1,1333.4,1402.6,1310.4,False,daylight,False,alicia,2026-09-22T13:52:13.935576
data_raw/cv/Frontal/5796DKP_.jpg,cv,5796DKP,5796DKP,manual,5796DKP,1362.2,1117.4,2442.2,1094.4,2453.8,1313.3,1379.5,1330.6,False,daylight,False,alicia,2026-09-22T13:52:56.522443
data_raw/cv/Frontal/6499KYF.jpg,cv,6499KYF,6499KYF,filename,6499KYF,1195.2,1417.0,2171.5,1422.7,2191.7,1615.7,1221.1,1589.8,False,daylight,False,alicia,2026-09-22T13:53:13.038269
data_raw/cv/Frontal/7067KSH.jpg,cv,7067KSH,7067KSH,filename,7067KSH,1486.1,1157.8,2635.2,1157.8,2638.1,1399.7,1489.0,1393.9,False,daylight,False,alicia,2026-09-22T13:53:22.624391
data_raw/cv/Frontal/7153JWD.jpg,cv,7153JWD,7153JWD,filename,7153JWD,1465.9,1077.1,2551.7,1057.0,2566.1,1278.7,1468.8,1301.8,False,daylight,False,alicia,2026-09-22T13:53:49.295692
data_raw/cv/Frontal/8727JTC.jpg,cv,8727JTC,8727JTC,filename,8727JTC,1353.6,1111.7,2499.8,1117.4,2499.8,1365.1,1350.7,1339.2,False,daylight,False,alicia,2026-09-22T13:54:13.847713
data_raw/cv/Frontal/9247CZG.jpg,cv,9247CZG,9247CZG,filename,9247CZG,1442.9,1411.2,2563.2,1385.3,2571.8,1624.3,1445.8,1638.7,False,daylight,False,alicia,2026-09-22T13:54:32.338063
data_raw/cv/Frontal/9296FJB.jpg,cv,9296FJB,9296FJB,filename,9296FJB,1071.4,904.3,2021.8,953.3,2027.5,1172.2,1077.1,1108.8,False,daylight,False,alicia,2026-09-22T13:54:43.869340
data_raw/cv/Frontal/PXL_20210921_150228605.jpg,cv,9892JFR,9892JFR,manual,9892JFR,1497.6,1013.8,2499.8,1025.3,2497.0,1238.4,1491.8,1218.2,False,daylight,False,alicia,2026-09-22T13:55:17.204219
data_raw/cv/Frontal/PXL_20210921_150235551.jpg,cv,3587DCX,3587DCX,manual,3587DCX,1408.3,1080.0,2574.7,1077.1,2574.7,1310.4,1417.0,1310.4,False,daylight,False,alicia,2026-09-22T13:55:40.281858
data_raw/cv/Frontal/PXL_20210921_150242081.jpg,cv,5796DKP,5796DKP,manual,5796DKP,1376.6,1117.4,2445.1,1097.3,2450.9,1313.3,1379.5,1327.7,False,daylight,False,alicia,2026-09-22T13:56:07.202863
data_raw/cv/Frontal/PXL_20210921_152343867.jpg,cv,7067KSH,7067KSH,manual,7067KSH,1494.7,1154.9,2641.0,1163.5,2641.0,1396.8,1494.7,1391.0,False,daylight,False,alicia,2026-09-22T13:56:26.317349
data_raw/cv/Frontal/PXL_20210921_152349075.jpg,cv,7153JWD,7153JWD,manual,7153JWD,1465.9,1082.9,2551.7,1057.0,2557.4,1275.8,1465.9,1293.1,False,daylight,False,alicia,2026-09-22T13:56:47.740240
data_raw/cv/Frontal/PXL_20210921_152354098.jpg,cv,5488LKV,5488LKV,manual,5488LKV,1399.7,1048.3,2661.1,1059.8,2661.1,1321.9,1399.7,1307.5,False,daylight,False,alicia,2026-09-22T13:57:27.573089
data_raw/cv/Frontal/PXL_20210921_152400613.jpg,cv,1656HTS,1656HTS,manual,1656HTS,1342.1,1039.7,2548.8,1036.8,2551.7,1290.2,1345.0,1275.8,False,daylight,False,alicia,2026-09-22T13:57:47.921928
data_raw/cv/Frontal/PXL_20210921_152408576.jpg,cv,2929KXJ,2929KXJ,manual,2929KXJ,1477.4,1154.9,2522.9,1163.5,2525.8,1379.5,1465.9,1353.6,False,daylight,False,alicia,2026-09-22T13:58:05.551097
data_raw/cv/Frontal/PXL_20210922_092615069.jpg,cv,3340JMF,3340JMF,manual,3340JMF,1537.9,1209.6,2603.5,1206.7,2603.5,1428.5,1532.2,1414.1,False,daylight,False,alicia,2026-09-22T13:58:31.880596
data_raw/cv/Frontal/PXL_20210922_092633606.jpg,cv,1062FNT,1062FNT,manual,1062FNT,1267.2,1273.0,2497.0,1241.3,2508.5,1486.1,1278.7,1526.4,False,daylight,False,alicia,2026-09-22T13:58:55.180039
data_raw/cv/Frontal/PXL_20210922_092638472.jpg,cv,9247CZG,9247CZG,manual,9247CZG,1454.4,1417.0,2554.6,1385.3,2563.2,1612.8,1454.4,1644.5,False,daylight,False,alicia,2026-09-22T13:59:15.964222
data_raw/cv/Frontal/PXL_20210923_071331923.jpg,cv,8727JTC,8727JTC,manual,8727JTC,1350.7,1114.6,2499.8,1131.8,2491.2,1356.5,1350.7,1339.2,False,daylight,False,alicia,2026-09-22T13:59:40.828508
data_raw/cv/Frontal/PXL_20210923_071340804.jpg,cv,5275HGY,5275HGY,manual,5275HGY,1509.1,1209.6,2701.4,1206.7,2698.6,1445.8,1514.9,1454.4,False,daylight,False,alicia,2026-09-22T13:59:59.403493
data_raw/cv/Frontal/PXL_20210923_071352288.jpg,cv,4674FHC,4674FHC,manual,4674FHC,1480.3,1221.1,2626.6,1252.8,2620.8,1480.3,1471.7,1451.5,False,daylight,False,alicia,2026-09-22T14:00:22.473756
data_raw/cv/Lateral/0182GLK.jpg,cv,0182GLK,0182GLK,filename,0182GLK,1097.3,970.6,1949.8,1033.9,1946.9,1287.4,1100.2,1177.9,False,daylight,False,alicia,2026-09-22T14:01:23.867767
data_raw/cv/Lateral/0292LKY.jpg,cv,0292LKY,0292LKY,filename,0292LKY,1005.1,1039.7,2018.9,1172.2,2007.4,1385.3,1036.8,1235.5,False,daylight,False,alicia,2026-09-22T14:01:47.993620
data_raw/cv/Lateral/0664JGR.jpg,cv,0664JGR,0664JGR,filename,0664JGR,1281.6,1103.0,2134.1,1255.7,2128.3,1460.2,1284.5,1290.2,False,artificial,True,alicia,2026-09-22T22:27:11.714575
data_raw/cv/Lateral/0729HHG.jpg,cv,0729HHG,0729HHG,filename,0729HHG,1036.8,1002.2,2010.2,1166.4,2007.4,1414.1,1048.3,1209.6,False,daylight,False,elena,2026-09-23T10:21:21.778444
data_raw/cv/Lateral/0729HHG.jpg,cv,0729HHG,0729HHG,manual,0729HHG,1036.8,1002.2,2021.8,1163.5,2001.6,1417.0,1051.2,1215.4,False,daylight,False,elena,2026-09-23T10:22:36.988735
data_raw/cv/Lateral/0804FTB.jpg,cv,0804FTB,0804FTB,filename,0804FTB,769.0,936.0,1828.8,1114.6,1831.7,1382.4,783.4,1175.0,False,daylight,False,elena,2026-09-23T10:23:12.057308
